name,avatar,description,education,affiliation,specialty,locations,website
"Joanne Marcus, PA",https://www.bassmedicalgroup.com/wp-content/uploads/2017/12/Joanne-Marcus-PA-e1540430754966.png,"To have the opportunity to work in the medical field has been my calling since childhood. In fact, I come from a family of physicians. In the United Kingdom I was a practicing pharmacist.In 2006, I became a licensed physician assistant after graduating from the Physicians Assistant (PA) Program at Stanford University School of Medicine. After practicing primary care medicine, I subsequently joined my husband Dr Samuel Marcus where, under his close guidance and supervision, I help him look after his patients suffering from diseases and disorders of the gastrointestinal tract and liver. I pride myself in my ability to make patients feel comfortable about discussing with me what to some of them, can be embarrassing and distressing symptoms.It is not unusual that patients can be quite worried when they are referred to see Dr Marcus. As a PA I am afforded the time to listen closely, discuss, advise, and under the direction of Dr Marcus, recommend the appropriate investigations to help diagnose and manage their complaints.Medical Degree: Physicians AssistantStanford University in California",Medical Degree: Physicians AssistantStanford University in California,,Gastroenterology,"Mountain View 2490 Hospital Drive Suite 211 Mountain View, CA 94040 Ph: 650-988-7488 Fx: 650-988-7486",www.marcusgi.com
"Samuel Marcus, MD, PhD",https://www.bassmedicalgroup.com/wp-content/uploads/2017/12/Dr.-Samuel-Marcus-Gastroenterologist-e1540430834512.png,"Dr. Marcus is aBoard Certified Gastroenterologistwho has been practicing in Mountain View, California since 1992. He is particularly interested in the early detection and prevention of colon cancer, the diagnosis and management of Crohns disease and ulcerative colitis and the endoscopic management of obesity.Medical School:Liverpool University School of Medicine, Liverpool, EnglandResidency:Internal Medicine Liverpool University School of Medicine, Liverpool, EnglandFellowship:Gastroenterology Liverpool University School of Medicine, Liverpool, England","Medical School:Liverpool University School of Medicine, Liverpool, England, Residency:Internal Medicine Liverpool University School of Medicine, Liverpool, England, Fellowship:Gastroenterology Liverpool University School of Medicine, Liverpool, England",,Gastroenterology,"Mountain View 2490 Hospital Drive Suite 211 Mountain View, CA 94040 Ph: 650-988-7488 Fx: 650-988-7486",www.marcusgi.com
"Navin Mallavaram, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/04/Dr.-Navin-Mallavaram-Interventional-Pain-Management-Specialist-e1540430596862.jpg,"Dr. Navin Mallavaram is an Interventional Pain Management specialist. He is double Board Certified in Anesthesiology and Pain Medicine. He is a graduate of the University of Colorado School of Medicine. He completed his internship at Northwestern University, in Evanston IL in Internal Medicine. His residency was completed at Columbia University in New York City. He was honored to be selected to serve as Chief Resident in his final year. He further studied Pain Medicine at the same institutions Manhattan Center for Pain Management.While Dr. Mallavaram specializes in treating spinal pain, his extensive training allows him to treat a wide spectrum of painful disorders. He believes in using a comprehensive approach to pain management in an effort to restore his patients health and improve their overall quality of life. He foundedThe Spine & Pain Center of Californiato offer state of the art, compassionate pain management care to the Bay Area community.In addition to conducting research sponsored by the NIH, Dr. Mallavaram has presented his award winning-research at national medical conferences. He has also co-authored a chapter in a pain management textbook that is used in training programs around the world. He routinely attends lectures and workshops to keep abreast of the most state-of-art treatments in pain management.Outside of work, Dr. Mallavaram enjoys spending time with his wife and children, playing golf, and traveling.Medical School:University of Colorado School of Medicine inAuroraInternship:Northwestern University in Evanston IllinoisResidency:Columbia University in New YorkEden Medical CenterSan Leandro Hospital","Medical School:University of Colorado School of Medicine inAurora, Internship:Northwestern University in Evanston Illinois, Residency:Columbia University in New York","Eden Medical Center, San Leandro Hospital",Pain Medicine,"Pleasanton 5924 Stoneridge Drive Suite 206 Pleasanton, CA 94588 Ph: 925-469-9120 Fx: 925-469-9121 | Fremont 39180 Farwell Drive Suite 110 Fremont, CA 94538 Ph: 925-469-9120 Fx: 925-469-9121",www.drnavin.com
"Kalyani Maganti, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Kalyani-Maganti-Gastroenterologist.jpg,"Dr. Kalyani Maganti received her Bachelor of Science from Bangalore University and her medical degree from Bangalore Medical School in Bangalore, India. Dr. Maganti completed her residency at St. Joseph Hospital in Chicago, Illinois in internal medicine and her fellowship at the University of California, Davis in gastroenterology.Dr. Maganti relocated to San Ramon to begin her private practice with the Gastroenterology Group of Contra Costa in June 2007. The group is now a part of the BASS Medical Group network, which serves patients throughout Northern California. Since the group has merged, she still sees patients in San Ramon, but also sees patients in Concord and Antioch.Medical School:Bangalore University in IndiaInternship:St. Joseph Hospital/ Northwestern University Medical School in Chicago, IllinoisResidency:St. Joseph Hospital/ Northwestern University Medical School in Chicago, IllinoisFellowship:University of California Davis in SacramentoJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical CenterSutter Delta Medical Center","Medical School:Bangalore University in India, Internship:St. Joseph Hospital/ Northwestern University Medical School in Chicago, Illinois, Residency:St. Joseph Hospital/ Northwestern University Medical School in Chicago, Illinois, Fellowship:University of California Davis in Sacramento","John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center, Sutter Delta Medical Center",Gastroenterology,"Antioch 3903 Lone Tree Way Suite 205 Antioch, CA 94509 Ph: 925-754-8710 Fx: 925-754-0765 | Concord 2222 East Street Suite 300 Concord, CA 94520 Ph: 925-682-7730 Fx: 925-682-7187 | San Ramon 5401 Norris Canyon Road Suite 208 San Ramon, CA 94583 Ph: 925-754-8710 Fx: 925-754-0765",
"Bhavna Malik, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Bhavana-Malik-Infectious-Disease-Specialist.jpg,"Dr.Bhavana Malik completed her medical degree at the Government Medical College in Amritsar, India. From there she completed a transitional internship at Guru Nanak Dev University, also in Amritsar. She completed an additional internship in the United States at the Brigham and Womens Hospital in Boston, Massachusetts. After completing an internal medicine residency at Southern Illinois University, she relocated to California where she worked as a staff physician for various medical groups including Alta Family Health Clinic, South of Market Health Center and the ValleyCare Medical Foundation. It was then Dr. Malik decided to follow her passion and complete a fellowship in infectious diseases at the UC Davis Medical Center in Sacramento, California. Upon completion, Dr. Malik joined the Diablo Infectious Disease Medical Consultative Group until she found a home with Infectious Disease Doctors Medical Group in Walnut Creek, CA. Dr. Malik is thrilled to be a part of the staff and is currently accepting new patients.Medical School:Government Medical College in Amritsar, IndiaInternship:Guru Nanak Dev University in Amritsar, IndiaResidency:University of California Davis Medical Center in Sacramento, CAFellowship:University of California Davis Medical Center in Sacramento, CASutter Delta Medical CenterJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical CenterSaint Rose HospitalStanford Health Care Valley Care Livermore","Medical School:Government Medical College in Amritsar, India, Internship:Guru Nanak Dev University in Amritsar, India, Residency:University of California Davis Medical Center in Sacramento, CA, Fellowship:University of California Davis Medical Center in Sacramento, CA","Sutter Delta Medical Center, John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center, Saint Rose Hospital, Stanford Health Care Valley Care Livermore",Infectious Disease,"Walnut Creek 365 Lennon Lane Suite 200 Walnut Creek, CA 94598 Ph: 925-947-2334 Fx: 925-947-5889",iddoctors.com
"Alejandro Magana, PA",https://www.bassmedicalgroup.com/wp-content/uploads/2018/10/HeadshotComingSoon1-1-e1544036775847.jpg,Bio Coming Soon,,,"Physician Assistant, Orthopedic Surgery","Morgan Hill 16130 Juan Hernandez Drive Suite 104 Morgan Hill, CA 95037 Ph: 408-224-1267 Fx: 408-926-6858 | San Jose 6140 Camino Verde Drive Suite L San Jose, CA 95119 Ph: 408-224-1267 Fx: 408-926-6858",
"LaMar Mack, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-LaMar-Mack-Vascular-Surgeon.jpg,"Dr. LaMar Mackis originally from Durham, North Carolina. He completed hisvascular surgerytraining in 2013 at theUniversity of Tennesseein Memphis, Tennessee.Dr. Mack moved to Visalia to joinSouth Valley Vascular Associatesin August 2013 (the group recently joined the BASS network). He is excited to be a part of a well-established group dedicated to excellence in patient care. He looks forward to continuing the tradition of excellence and further improving patient care. Dr. Macks interests include: abdominal aortic aneurysms, carotid artery disease, peripheral vascular disease, varicose veins and hemodialysis access.Dr. Mack is married and has three children. His interests include travel and fitness training. He is also an avid football fan and an amateur chef.He isboard certified in vascular surgery.Medical School:University of North Carolina School of Medicine in Chapel HillInternship:University of TennesseeMedical Center in KnoxvilleResidency:University of TennesseeMedical Center in KnoxvilleFellowship:University of Tennessee Health Science Center in MemphisKaweah Delta Medical CenterAdventist Medical Center HanfordSierra View District Hospital PortervilleTulare Regional Medical Center","Medical School:University of North Carolina School of Medicine in Chapel Hill, Internship:University of Tennessee, Medical Center in Knoxville, Residency:University of Tennessee, Medical Center in Knoxville, Fellowship:University of Tennessee Health Science Center in Memphis","Kaweah Delta Medical Center, Adventist Medical Center Hanford, Sierra View District Hospital Porterville, Tulare Regional Medical Center",Vascular Surgery,"Visalia 820 S Akers Street Suite 120 Visalia, CA 93277 Ph: 559-625-4118 Fx: 559-625-6004 | Hanford 125 Mall Drive Suite 211-B Hanford, CA 93230 Ph: 559-825-6204 Fx: 559-625-6004",www.southvalleyvascular.com
"Amanda Machette, CNM, MS, RN",https://www.bassmedicalgroup.com/wp-content/uploads/2018/07/Machette_Amanda-1-e1540430477906.jpg,"I was born and raised here in the Bay Area, in Piedmont, just through the tunnel. From a very early age I always knew that I wanted to work in Womens Health. I blame it on my mother taking me to a young girls and their changing bodies class at probably a too young of an age, but am so thankful for it.I always saw the benefit in women having the opportunity to educate themselves about their bodies and health. In high school, my junior and senior year, I voluntarily gave up my free period and asked to help teach the Freshmen Health Ed Class.In college, I continued to look for ways to expand my knowledge and discover my love for medicine and health education. I attended Washington University in Saint Louis for undergraduate and worked as a campus EMT and a patient educator at Planned Parenthood.After college, while working for the Red Cross, I knew that Womens health was my calling and explored all my options of how to incorporate it in my life. Having been on a pre-med track, I had never really considered being a nurse practitioner, or, like many, heard of a midwife.It was not until I learned what a certified nurse midwife is, that I knew it was what I was meant to do. I discovered a career that would end up being the best decision of my life. I found a way in which I would be able to combine my passion for medicine, science and health, while getting to incorporate patient education.I moved to New York City to pursue my midwifery studies. I attended Columbia University where I obtained my second bachelors in nursing and my masters in Midwifery. Upon graduating, I took a position at Coney Island Hospital in Brooklyn, NY. This busy city hospital gave me more experiences than I could have ever dreamed of. Talk about being thrown into the deep end of the pool! But I loved every second of it. I had the chance to work with people of many different backgrounds and many different levels of care. In my three and a half years there, I had the opportunity to delivery some of my patients second and even third babies, while on other days, I had deliveries in the hospital lobby of people walking in off the street with no prenatal care and denying they were pregnant. It was an amazing place.However, after seven years in New York, I felt it was time to come back home and be closer to my family. I was blessed enough to cross paths with Dr Wells in the most unexpected way- on FaceTime! My sister was delivering her second baby and I missed flying out for it by a day. But not wanting to miss out, or be there for her, I was able to participate via the wonders of technology. After chatting with Dr Wells during her delivery, I then met him the next day in Postpartum and we hit it off. I learned more about the practice and philosophy and knew it would be a great fit. A few months later, I found myself back on the west coast and joining an incredible practice.I love that I am now in a place where I can provide each patient with, literally, the care I would want for my sister. I aim to provide an environment that is supportive and relaxed, and where one feels that all their concerns are heard and their questions answered. I pride myself on educating my patients, so they can be active participants in their care.I feel blessed that I truly love what I do. I get to be a part of such a joyous and life-changing event in so many peoples lives. Getting to be present in that moment, when a patient goes from being a woman, to being a mom, is something I treasure on a daily basis.Bachelor Degree: NursingWashington University in Saint LouisColumbia University in New YorkMasters Degree: MidwiferyColumbia University in New York","Bachelor Degree: NursingWashington University in Saint Louis, Columbia University in New York, Masters Degree: MidwiferyColumbia University in New York",,"Midwife, Obstetrics and Gynecology","Walnut Creek 110 Tampico Suite 220 Walnut Creek, CA 94598 Ph: 925-935-5356 Fx: 925-935-1070",www.stephenwellsmd.com
"Kathleen Low, NP",https://www.bassmedicalgroup.com/wp-content/uploads/2016/12/kathleen_low_rn_np-e1540430389256.jpg,"Kathleen Low is one of the first nurse practitioners in the Bay Area to focus in Otolaryngology. She obtained a Bachelor of Science in nursing from Cedarville University in Ohio and a Master of Science from the University of California, San Francisco.Kathleen worked as an intensive care nurse at Stanford Hospital prior to joining Dr. Vaughan and the Department of Otolaryngology at Stanford in 1999.She coordinates the sinus research activities at Cal Sinus and sees patients at our Atherton location.Her special interests include the medical management of sinus infections and patient education.In her free time, she enjoys hiking and camping throughout California, volunteering in her local community and spending time with family and friends.Master of Science Degree:University of California San FranciscoBachelor of Science: NursingCedarville University in Ohio","Master of Science Degree:University of California San Francisco, Bachelor of Science: NursingCedarville University in Ohio",,Otolaryngology (ENT),"Atherton 3351 El Camino Real Suite 200 Atherton, CA 94027 Ph: 650-399-4630 Fx: 650-366-4930",www.calsinus.com
"Harry J. MacDannald, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Harry-MacDannald-Pulmonary-Medicine-Specialist.jpg,"Dr. MacDannald joined the Respiratory Medical Group in 1977 (which merged with BASS in early 2015). Dr. MacDannald continues to be an active member on both John Muir Health campuses in Walnut Creek and Concord. In the past, he served as vice chief of staff, chief of the medical staff, and post chief of staff for John Muir, Walnut Creek.Dr. MacDannald earned his Bachelor of Science in electrical engineering and his Bachelor of Arts in molecular biology fromSan Jose State University. He attended medical school at theUniversity of California, Davis. He then completed his residency at Boston City Hospital through Boston University Medical Service and Wadsworth Veterans Administration Hospital through the University of California, Los Angeles. He completed a pulmonary fellowship through the University of California, Davis at the Veterans Administration in Martinez, California.Medical School:University of California DavisInternship:Boston University in MassachusettsResidency:Boston University in Massachusetts andWadsworth Veterans Administration Hospital in Los Angeles, CaliforniaFellowship:University of California Davis atVeterans Administration in MartinezJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical Center","Medical School:University of California Davis, Internship:Boston University in Massachusetts, Residency:Boston University in Massachusetts andWadsworth Veterans Administration Hospital in Los Angeles, California, Fellowship:University of California Davis atVeterans Administration in Martinez","John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center","Pulmonary Disease, Sleep Medicine, Critical Care Medicine","Walnut Creek 130 La Casa Via Building 2 Suite 208 Walnut Creek, CA 94598 Ph: 925-944-0166 Fx: 925-944-6355 | Walnut Creek 1455 Montego Suite 102 Walnut Creek, CA 94598 Ph: 925-935-7667 Fx: 925-945-7667 | Brentwood 141 Sand Creek Rd, Suite B Brentwood, CA 94513 Ph: 925-935-7667 Fx: 925-945-7667",www.rmgmd.com
"Benjamin M. Loos, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Benjamin-Loos-Otolaryngologist.jpg,"Dr. Loos specializes in head and neck surgery as well as facial plastic surgery. He works out of several BASS Medical Group offices in Contra Costa County.Dr. Loos received his medical education fromBaylor College of Medicinein Houston, Texas. He completed ageneral surgeryinternship and head and neck surgery training atGeorgetown University Medical Centerin Washington, DC. Dr. Loos completed additional training in facial plastic and reconstructive surgery at theUniversity of California, San Francisco. He is board certified by the American Board of Facial Plastic and Reconstructive Surgery as well as the American Board of Otolaryngology  Head and Neck Surgery. Dr. Loos research has appeared in medical textbooks and national scientific journals on both facial plastic surgery and head and neck surgery.Dr. Loos credentials include specialized experience in all aspects of head and neck surgery with additional attention to facial plastic surgery. In evaluating and treating all ages of patients, Dr. Loos focuses on delivering individualized care.While he enjoys traveling, exercise, and playing guitar, Dr. Loos most enjoys spending time with his wife, twin boys, and dog.Medical School:Baylor College of Medicinein Houston, TexasInternship:Georgetown University Medical Centerin Washington DCResidency:Georgetown University Medical Centerin Washington DCFellowship:Armed Forces Institute of Pathology in Washington DCJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical Center","Medical School:Baylor College of Medicine, in Houston, Texas, Internship:Georgetown University Medical Center, in Washington DC, Residency:Georgetown University Medical Center, in Washington DC, Fellowship:Armed Forces Institute of Pathology in Washington DC","John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center",Otolaryngology (ENT),"Concord 2700 Grant Street Suite 104 Concord, CA 94520 Ph: 925-685-7400 Fx: 925-685-0917 | Walnut Creek 2121 Ygnacio Valley Road Building G Suite 2 Walnut Creek, CA 94598 Ph: 925-932-3112 Fx: 925-932-3317",www.caminoent.com
"William Longton, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-William-Longton-Pain-Medicine-Specialist.jpg,"Dr. William Longton trained atStanford Universitywhere he participated in a number of studies related to how pain affects the human body. After completing his residency and fellowship in anesthesiology and pain medicine, Dr. Longton stayed on as faculty at Stanford Medical Center attending the operating rooms and the pain clinic. He trained and taught side by side with some of the original leaders in the field of pain therapy. He has held leadership positions in the field of pain management at Stanford University, Santa Clara Valley Medical Center and John Muir Hospital. Dr. Longton rose to a position of national excellence with his implementation of advanced pain medicine and regional anesthesia techniques. He has almost 20 years of experience being board certified in both anesthesiology and pain medicine. He has expertise in multidisciplinary care, cancer pain management, spinal cord stimulation and spinal medication delivery systems. A previous world-class athlete and finalist in the US Olympic Trials in swimming, Dr. Longton is an avid cyclist, skier, and windsurfer.Medical School:University of Arizona College of Medicine in TucsonInternship:St. Marys Hospital in San Francisco, CaliforniaResidency:Stanford University School of Medicine in CaliforniaFellowship:Stanford University School of Medicine in CaliforniaJohn Muir Concord Medical CenterJohn Muir Walnut Creek Medical CenterStanford Health Care Valley Care","Medical School:University of Arizona College of Medicine in Tucson, Internship:St. Marys Hospital in San Francisco, California, Residency:Stanford University School of Medicine in California, Fellowship:Stanford University School of Medicine in California","John Muir Concord Medical Center, John Muir Walnut Creek Medical Center, Stanford Health Care Valley Care",Pain Medicine,"Pleasant Hill 2250 Morello Ave Pleasant Hill, CA 94523 Ph: 925-287-1256 Fx: 925-287-0913",www.painmedicineconsultants.com
"John B. Long, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-John-Long-Vascular-Surgeon.jpg,"Dr. John Long has a variety of interests such as: AAA stent grant repair, Abdominal aortic aneurysm, Aortic aneurysm, Arterial or venous thrombolysis and thrombectomy, Carotid disease, Carotid occlusive disease, Carotid stroke studies, Carotid surgery, Deep vein thrombosis (DVT), Diabetic foot problems, Dialysis access procedures, Endovascular and open vascular surgery, Endovascular surgery, Endovascular treatment of aneurysms, Endovascular treatment of occlusive disease, Femoral bypass procedures, Hybrid therapy for lower extremity preservation, Limb preservation/ salvage, Peripheral artery disease (PAD), Peripheral vascular surgery, Renal artery occlusive disease, Stroke studies, Varicose vein surgery, Vascular access surgery, Vascular imaging, Venous ablation, Venous and lymphatic disease, Venous insufficiency, Wound care.Medical School:University of California Los Angeles andUniversity of Notre Dame in South Bend, IndianaInternship:Harbor/UCLA Medical Center in Torrance, CaliforniaResidency:Harbor/UCLA Medical Center in Torrance, CaliforniaFellowship:University of College of Medical & Dentistry of New Jersey in NewarkCalifornia Pacific Medical CenterSaint Francis Memorial HospitalCalifornia Pacific Medical Center","Medical School:University of California Los Angeles andUniversity of Notre Dame in South Bend, Indiana, Internship:Harbor/UCLA Medical Center in Torrance, California, Residency:Harbor/UCLA Medical Center in Torrance, California, Fellowship:University of College of Medical & Dentistry of New Jersey in Newark","California Pacific Medical Center, Saint Francis Memorial Hospital, California Pacific Medical Center",Vascular Surgery,"San Francisco 1 Daniel Burnham Court Suite 205C San Francisco, CA 94109 Ph: 415-221-7056 Fx: 415-221-7058",www.sanfranciscoveinandvascularinstitute.com
"Joshua Logan, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/07/Dr.-Joshua-Logan-Urologist-Walnut-Creek-e1540430305699.jpg,"Dr. Joshua Logan a urologist with fellowship training in urologic oncology. He has particular expertise in kidney cancer, bladder cancer, prostate cancer, and testicular cancer.Dr. Logan is from Atlanta, Georgia. He completed his undergraduate, and medical education at Emory University. His general surgery internship, and urologic surgery training were completed at Eastern Virginia Medical School in Norfolk, Virginia. He completed his urologic oncology fellowship training at UCLA.Dr. Logans philosophy in providing care for patients is to partner with them, and cultivate a relationship, which forms the basis for providing education, so that patients can make informed decisions regarding their care. He works to assist people in navigating this process in a way that honors their values, and objectives to address what are often complex problems.He spent his first five years of practice living, and working in Alaska in a multidisciplinary oncology clinic. He recently relocated to the East Bay to be closer to family.He is married to Dr. Stacey Logan, a pediatrician in the area. Together, they have four sons, including a set of twins.When he is not taking care of patients he enjoys spending time outdoors with his family.Medical School:Emory University inAtlanta, GeorgiaInternship:Eastern Virginia Medical School inNorfolkResidency:Eastern Virginia Medical School inNorfolkFellowship:University of California Los AngelesJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical Center","Medical School:Emory University inAtlanta, Georgia, Internship:Eastern Virginia Medical School inNorfolk, Residency:Eastern Virginia Medical School inNorfolk, Fellowship:University of California Los Angeles","John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center","Urology, Urologic Oncology","Walnut Creek 2637 Shadelands Drive Walnut Creek, CA 94598 Ph: 925-932-6330 Fx: 925-932-0139",
"John P. Loftus, MD, FACS",https://www.bassmedicalgroup.com/wp-content/uploads/2015/06/John-Loftus-MD-e1540430153202.jpg,"Dr. Loftus graduated fromUCLAprior to earning his medical degree from theMayo Clinicin Rochester, Minnesota. Following his general surgery residency and vascular surgery fellowship at theMayo Clinic, he completed an endovascular fellowship at Stanford University. He is board certified and a Fellow of the American College of Surgeons. His interests include open, laparoscopic and robotic gastrointestinal surgery and aortic aneurysm, carotid and peripheral vascular disease.Medical School:Mayo Medical School in Rochester, MinnesotaResidency:Mayo Graduate School of Medicine, Mayo Clinic in Rochester, MinnesotaFellowship:Mayo Graduate School of Medicine/Mayo Clinic in Rochester, Minnesota andStanford University Medical Center","Medical School:Mayo Medical School in Rochester, Minnesota, Residency:Mayo Graduate School of Medicine, Mayo Clinic in Rochester, Minnesota, Fellowship:Mayo Graduate School of Medicine/Mayo Clinic in Rochester, Minnesota and, Stanford University Medical Center",,"General Surgery, Vascular Surgery, Advanced Laparoscopic","Napa 3443 Villa Lane Suite 5 Napa, CA 94558 Ph: 707-226-2031 Fx: 707-252-1087",
"Lauren Lockwood, CNM",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Lauren-Lockwood-NP-MW.jpg,"Lauren Lockwood is a Certified Nurse-Midwife who was raised in Northern California. From the time she was a teenager, she knew she wanted to help bring babies into the world. Her journey to becoming a midwife started with a Bachelors of Science in Nursing from Samuel Merritt College and St. Marys College of California. After graduating from nursing school, Lauren spent seven years as a labor and delivery nurse at Alta Bates Summit Medical Center in Berkeley. Wanting to spend more time with her patients than just the few hours she spent in the hospital with them, Lauren decided to return to school to become a Certified Nurse-Midwife. She graduated from University of California, San Francisco with a Masters Degree in Science. She has been caring for women in the Contra Costa area and catching babies at John Muir since 2013.Lauren spends her free time with her husband and three children. She enjoys the outdoors, especially cycling and snowboarding.As a Certified Nurse-Midwife and Womens Health Nurse Practitioner, Lauren is trained and licensed to provide a wide range of womens health services, including well woman exams (pap and pelvic exams), basic gynecological care, contraception, and prenatal, postpartum and labor care. Lauren is proud to offer in-hospital midwifery services at John Muir Medical Center.Masters Degree in Science:University of California San FranciscoBachelors of Science: NursingSamuel Merritt College inOakland, CaliforniaSt. Marys College of California inMoraga, California","Masters Degree in Science:University of California San Francisco, Bachelors of Science: NursingSamuel Merritt College inOakland, California, St. Marys College of California inMoraga, California",,"Midwife, Obstetrics and Gynecology","Walnut Creek 112 La Casa Via Suite 300 Walnut Creek, CA 94598 Ph: 925-239-0012 Fx: 925-239-0011",www.rsvpobgyn.com
"Renu Liu, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Renu-Liu-Radiologist.jpg,"Dr. Liu is an ACGME accredited fellowship trained and board certifiedRadiologistjoining us from theYale School of Medicinewhere she was the assistant professor in the Department of Radiology. Dr. Liu was a member of the neuroradiology section and has considerable experience in imaging of the neuroaxis, including imaging of the brain, spine, and head and neck.Medical School:Yale University School of Medicine inHaven, ConnecticutInternship:Pennsylvania Hospital in PhiladelphiaResidency:University of California San FranciscoFellowship:Weill Cornell New York Presbyterian Hospital/Memorial Sloan Kettering Cancer Center in New York","Medical School:Yale University School of Medicine inHaven, Connecticut, Internship:Pennsylvania Hospital in Philadelphia, Residency:University of California San Francisco, Fellowship:Weill Cornell New York Presbyterian Hospital/Memorial Sloan Kettering Cancer Center in New York",,Diagnostic Radiology,"San Ramon 2242 Camino Ramon Suite 100 San Ramon, CA 94583 Ph: 925-327-0015 Fx: 925-327-0095 | Morgan Hill 16130 Juan Hernandez Drive Suite 106, Morgan Hill, CA 95037 Ph: 408-465-2555 Fx: 408-465-2550",www.bayradiology.com
"David H. Lin, MD, PhD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-David-Lin-Gastroenterologist.jpg,"Dr. David Lin states, My practice is dedicated to provide highest quality care in the specialty of gastroenterology. Lin offers comprehensive consultations to both diagnose and treat a variety of disorders. Lin has a special interest in Celiac disease and inflammatory bowel disease. Other diseases Lin treats include: disorders of the esophagus, stomach, liver, gallbladder, pancreas, small intestines, colon, rectum, digestive system including diarrhea, constipation, abdominal pain, heartburn, swallowing, inflammatory bowel disease microscopic colitis, irritable bowel syndrome, esophagus, stomach, liver, gallbladder, pancreas, small intestines, colon and rectum.Lin provides a wide variety of testing such as upper endoscopy, colonoscopy, sigmoidoscopy, pancreaticobiliary endoscopy, hemorrhoidal treatment, and endoscopic treatment for gastroesophageal reflux disease. Dr. Lin is agastroenterologistwith BASS Medical Group.Medical School:Universityof Medicine & Dentistry of New Jersey Medical School inNewarkInternship:College Hospital Universityof Medicine& Dentistry of New Jersey inNewarkResidency:College Hospital Universityof Medicine& Dentistry of New Jersey inNewarkFellowship:College Hospital Universityof Medicine & Dentistry of New Jersey inNewark","Medical School:Universityof Medicine & Dentistry of New Jersey Medical School inNewark, Internship:College Hospital Universityof Medicine& Dentistry of New Jersey inNewark, Residency:College Hospital Universityof Medicine& Dentistry of New Jersey inNewark, Fellowship:College Hospital Universityof Medicine & Dentistry of New Jersey inNewa",,Gastroenterology,"Danville 901 San Ramon Valley Blvd Suite 232 Danville, CA 94526 Ph: 925-831-9200 Fx: 925-831-9317",
"Janet F. Lin, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Janet-Lin-Neurologist.jpg,Dr. Janet Lin graduated from Antioch College with a BA in literature in 1972 and received her MD from the University of Medicine and Dentistry in Newark New Jersey in 1977. She did her internship in internal medicine and a neurology residency at the same institution. She joined the Neurology Medical Group in 1981 and has a special interest in Multiple Sclerosis.Medical Neurology Group of Diablo Valley joined BASS Medical Group in the summer of 2015.Medical School:New Jersey College of Medicine & Dentistry in NewarkInternship:New Jersey College of Medicine & Dentistry in NewarkResidency:New Jersey College of Medicine & Dentistry in NewarkJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical Center,"Medical School:New Jersey College of Medicine & Dentistry in Newark, Internship:New Jersey College of Medicine & Dentistry in Newark, Residency:New Jersey College of Medicine & Dentistry in Newark","John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center",Neurology,"Pleasant Hill 400 Taylor Blvd Suite 301 Pleasant Hill, CA 94523 Ph: 925-602-7060 Fx: 925-602-7070",
